"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"1134","Haiti",2004,"Developing",58.7,32,18,6.1,64.39853344,NA,0,37.5,24,58,5.61,55,4.3,387.9429725,9119178,4.5,4.5,0.45,8.1
"1135","Haiti",2003,"Developing",59.7,3,18,6.64,44.25687135,NA,0,36.5,25,56,5.32,53,4.6,329.782946,8976552,4.5,4.6,0.447,8.1
"1136","Haiti",2002,"Developing",59.3,33,19,6.1,50.28558223,NA,0,35.6,26,54,5.47,48,4.8,393.16327,8834733,4.6,4.7,0.444,8
"1137","Haiti",2001,"Developing",58.9,35,19,6.22,60.77815868,NA,159,34.8,27,52,5.63,45,5,413.7383164,8692567,4.7,4.7,0.443,7.9
"1138","Haiti",2000,"Developing",58.6,35,20,4.79,74.46033036,NA,992,34,28,5,6.6,41,5.1,462.486524,85492,4.8,4.8,0.439,7.8
"1150","Honduras",2004,"Developing",72.2,165,5,3.02,188.2499208,93,0,42,7,94,7.89,94,1.2,1217.657961,724153,2.6,2.5,0.571,10.4
"1151","Honduras",2003,"Developing",71.9,166,6,3.04,194.4335736,91,0,41.2,7,92,8.29,92,1.4,1157.3427,733821,2.6,2.5,0.566,10.3
"1152","Honduras",2002,"Developing",71.6,169,6,3.09,154.8636161,94,0,4.4,7,95,7.28,95,1.5,1132.8721,6863157,2.7,2.6,0.561,10.1
"1153","Honduras",2001,"Developing",71.3,171,6,2.74,15.36175284,95,0,39.6,8,99,6.88,96,1.6,113.4546,669361,2.7,2.7,0.557,9.9
"1154","Honduras",2000,"Developing",71,174,6,2.61,28.80831098,93,0,38.8,8,88,6.63,94,1.7,188.783165,6524283,2.8,2.7,0.551,9.8
"1166","Hungary",2004,"Developed",72.9,18,1,13.28,146.8608016,NA,0,58.2,1,99,8.8,99,0.1,1259.5266,117146,2.1,2.1,0.793,15.3
"1167","Hungary",2003,"Developed",72.5,184,1,13.24,1030.220271,NA,0,57.6,1,99,8.42,99,0.1,8396.25323,1129552,2.1,2.1,0.784,14.9
"1168","Hungary",2002,"Developed",72.5,184,1,13.29,8.98619805,NA,0,57.1,1,98,7.47,99,0.1,665.6443,115868,2.2,2.2,0.775,14.6
"1169","Hungary",2001,"Developed",72.3,185,1,13.18,7.601092416,NA,20,56.6,1,99,7.11,99,0.1,527.85364,1187576,2.2,2.2,0.769,14.2
"1170","Hungary",2000,"Developed",71.7,193,1,12.22,75.36251406,NA,1,56.1,1,99,7.6,99,0.1,4623.46712,121971,2.3,2.3,0.761,13.9
"1182","Iceland",2004,"Developed",88,65,0,6.79,8506.101443,NA,0,56.5,0,99,9.59,99,0.1,46917.27216,29274,1,0.9,0.873,18.3
"1183","Iceland",2003,"Developed",87,65,0,6.61,725.4853161,NA,0,55.9,0,97,1.7,97,0.1,3944.999,289521,1,0.9,0.866,17.6
"1184","Iceland",2002,"Developed",84,7,0,6.61,5948.096777,NA,0,55.4,0,95,9.86,95,0.1,31996.2172,287523,1,0.9,0.859,17.2
"1185","Iceland",2001,"Developed",80,72,0,6.37,5048.274426,NA,0,54.8,0,92,9.12,92,0.1,28585.9254,284968,1,0.9,0.854,17.1
"1186","Iceland",2000,"Developed",79.7,74,0,6.17,5809.12199,NA,0,54.2,0,98,9.28,98,0.1,31813.37344,28125,1,0.9,0.847,16.8
"1198","India",2004,"Developing",64,214,1600,1.2,27.33800857,6,55443,13,2100,58,4.22,63,0.3,621.3183767,1126135777,27.2,28.2,0.518,9.2
"1199","India",2003,"Developing",63.7,216,1700,1.19,19.4808682,NA,47147,12.6,2200,57,4.3,61,0.3,541.1352279,11827848,27.3,28.3,0.505,8.6
"1200","India",2002,"Developing",63.3,219,1700,1.1,17.81205644,NA,40044,12.2,2300,58,4.4,59,0.3,466.2842,18987112,27.4,28.4,0.499,8.4
"1201","India",2001,"Developing",62.9,222,1800,1,19.00340606,NA,51780,11.8,2400,58,4.5,59,0.3,447.138966,171477855,27.5,28.5,0.494,8.3
"1202","India",2000,"Developing",62.5,224,1800,0.93,19.26615743,NA,38835,11.4,2500,57,4.26,58,0.3,438.864634,1535912,27.7,28.6,0.489,8.3
"1214","Indonesia",2004,"Developing",65.3,213,174,0.06,55.36107207,64,29171,18.2,237,79,2.37,71,0.1,1148.56996,223614649,1.9,1.9,0.624,11
"1215","Indonesia",2003,"Developing",66.9,189,173,0.05,8.460155758,64,24457,17.5,215,8,2.53,71,0.1,164.59447,22545214,1.9,11,0.613,10.8
"1216","Indonesia",2002,"Developing",66.7,189,177,0.05,43.17867291,63,14492,16.7,222,8,2.27,7,0.1,899.5556857,2175859,11,11.1,0.608,10.6
"1217","Indonesia",2001,"Developing",66.5,188,182,0.06,33.95837125,62,3825,16,229,77,2.23,76,0.1,747.9817455,2145652,11,11.1,0.604,10.6
"1218","Indonesia",2000,"Developing",66.3,188,187,0.06,3.43334364,65,3344,15.4,237,72,1.98,75,0.1,78.92744,21154429,11,11.2,0.597,10.7
"1246","Iraq",2004,"Developing",67.2,21,30,0.32,44.12059646,62,9081,51.9,37,69,5.61,74,0.1,1391.816923,2631669,5.4,5.2,0.603,9.8
"1262","Ireland",2004,"Developed",78.3,82,0,13.32,8040.220444,NA,334,54.4,0,89,7.34,89,0.1,47631.6377,47262,0.3,0.2,0.88,17.1
"1263","Ireland",2003,"Developed",78,82,0,13.24,675.2134725,NA,584,53.6,0,86,7.5,86,0.1,4117.15532,3996521,0.3,0.2,0.87,16.8
"1264","Ireland",2002,"Developed",77.4,88,0,14.17,5092.383814,NA,243,52.9,0,83,6.85,83,0.1,32539.1937,3931947,0.3,0.3,0.862,16.5
"1265","Ireland",2001,"Developed",77,89,0,14.27,4264.579203,NA,241,52.2,0,84,6.6,84,0.1,28223.55528,3866243,0.3,0.3,0.857,16.4
"1266","Ireland",2000,"Developed",76.4,94,0,14.07,3794.581463,NA,0,51.5,0,86,6.3,86,0.1,26241.91883,385174,0.3,0.3,0.848,16.2
"1278","Israel",2004,"Developing",81,69,1,2.23,1895.342792,99,116,6.1,1,95,7.35,95,0.1,19888.172,689,1.1,1.1,0.863,15.9
"1279","Israel",2003,"Developing",79.7,71,1,2.32,1731.755747,98,124,59.6,1,93,7.44,93,0.1,18946.99942,66897,1.1,1.1,0.863,16
"1280","Israel",2002,"Developing",79.3,74,1,2.47,1701.195787,98,2,59.2,1,91,7.49,9,0.1,18431.15696,657,1.1,1.1,0.855,15.3
"1281","Israel",2001,"Developing",79.3,74,1,2.53,22.27332618,96,19,58.7,1,93,7.61,92,0.1,236.19646,6439,1.1,1.1,0.85,15.1
"1282","Israel",2000,"Developing",78.9,76,1,2.53,199.9341033,98,36,58.3,1,93,7.13,93,0.1,2152.1432,6289,1.1,1.1,0.845,15.2
"1294","Italy",2004,"Developed",89,66,2,8.98,4270.914882,96,599,57.6,3,97,8.49,94,0.1,31174.56118,57685327,0.5,0.5,0.846,15.6
"1295","Italy",2003,"Developed",79.9,72,2,9.3,3519.258515,95,10982,57,3,97,8.17,96,0.1,27387.2258,5731323,0.5,0.5,0.841,15.4
"1296","Italy",2002,"Developed",80,72,2,9.25,2883.334911,95,9385,56.4,3,96,8.23,93,0.1,22196.5736,57597,0.5,0.5,0.836,15.2
"1297","Italy",2001,"Developed",79.8,75,2,9.69,3.1222302,95,0,55.7,3,96,8.11,93,0.1,24.819,569741,0.5,0.5,0.828,14.9
"1298","Italy",2000,"Developed",79.4,77,3,9.78,31.50582204,94,1457,55,3,97,7.91,87,0.1,251.2426,5694218,0.5,0.5,0.823,14.8
"1310","Jamaica",2004,"Developing",73.3,165,1,3.67,192.3226305,98,0,45.4,1,97,4.8,98,2.3,3719.97351,2728777,1.9,1.8,0.689,11.1
"1311","Jamaica",2003,"Developing",73.1,166,1,3.48,155.5884677,36,0,44.5,1,99,4.56,96,2.3,3465.221998,2712511,1.9,1.8,0.694,11.9
"1312","Jamaica",2002,"Developing",73,167,1,3.76,211.1143318,NA,0,43.5,1,99,4.86,99,2.3,3596.496282,2695446,2,1.8,0.69,11.7
"1313","Jamaica",2001,"Developing",72.7,171,1,3.89,160.2382416,NA,0,42.5,1,99,5.34,99,2.2,3394.878,267711,2,1.8,0.68,10.9
"1314","Jamaica",2000,"Developing",72.6,171,1,3.46,24.82762854,NA,0,41.6,1,95,5.81,93,2.2,336.8742,2656864,2,1.9,0.682,11.4
"1326","Japan",2004,"Developed",82.1,68,3,7.7,6746.281299,NA,8752,23.8,4,97,8.3,99,0.1,37688.72234,127761,1.7,1.4,0.866,14.8
"1327","Japan",2003,"Developed",81.9,7,3,7.83,578.7254273,NA,8286,23.4,5,97,8,97,0.1,3488.3992,127718,1.7,1.4,0.863,14.8
"1328","Japan",2002,"Developed",81.8,7,3,7.87,5250.249188,NA,33812,22.9,5,89,7.85,96,0.1,32289.3554,127445,1.7,1.4,0.86,14.7
"1329","Japan",2001,"Developed",81.5,72,4,8.03,5486.51208,NA,22552,22.5,5,81,7.75,95,0.1,33846.46564,127149,1.7,1.4,0.856,14.6
"1330","Japan",2000,"Developed",81.1,74,4,7.97,5926.296654,NA,22497,22.2,5,98,7.53,85,0.1,38532.488,126843,1.6,1.4,0.852,14.5
"1342","Jordan",2004,"Developing",72.5,125,4,0.54,32.52523612,95,21,57,4,95,9.5,95,0.1,261.456882,5535595,3.9,3.8,0.723,13.5
"1343","Jordan",2003,"Developing",72.3,127,4,0.54,228.7838108,97,76,56.3,4,97,9.15,97,0.1,1889.213962,5396774,3.9,3.9,0.717,13.2
"1344","Jordan",2002,"Developing",72.1,129,4,0.54,259.1572375,95,19,55.5,4,95,9.68,95,0.1,1812.288374,5287488,3.9,3.9,0.712,13
"1345","Jordan",2001,"Developing",71.9,131,4,0.55,248.697463,97,61,54.8,4,97,9.9,99,0.1,1728.2659,5193482,4,3.9,0.706,12.7
"1346","Jordan",2000,"Developing",71.7,133,4,0.49,227.296617,93,32,54,4,94,9.65,91,0.1,1657.889256,51313,4,4,0.7,12.6
"1358","Kazakhstan",2004,"Developing",64.7,287,8,6.55,33.91660183,99,2204,45.8,9,99,3.95,82,0.1,2874.288291,1512985,2.5,2.6,0.725,13.5
"1359","Kazakhstan",2003,"Developing",64.4,282,8,6.58,23.43400762,99,24,45.3,9,99,3.7,99,0.1,268.123657,149918,2.5,2.6,0.714,13.1
"1360","Kazakhstan",2002,"Developing",64.7,276,8,5.99,145.1022528,95,18,44.8,9,95,3.61,95,0.1,1658.31146,14858948,2.6,2.6,0.7,12.7
"1361","Kazakhstan",2001,"Developing",64.4,284,8,5.75,12.60883976,95,94,44.4,10,95,3.47,95,0.1,149.926751,14858335,2.6,2.7,0.685,12.3
"1362","Kazakhstan",2000,"Developing",63.9,292,9,6,112.541157,99,245,43.9,10,96,4.16,97,0.1,1229.958,14883626,2.7,2.7,0.676,12.1
"1374","Kenya",2004,"Developing",53,432,72,1.43,36.29775249,73,20,15.9,112,73,4.29,73,13.2,458.8843551,3574931,8.7,8.6,0.461,8.9
"1375","Kenya",2003,"Developing",52.4,437,74,1.49,35.85204668,73,65,15.5,115,75,4.45,73,14.5,436.6875357,3413852,8.8,8.8,0.45,8.2
"1376","Kenya",2002,"Developing",52.1,437,76,1.66,32.73674134,84,766,15.1,118,83,4.54,84,15.7,395.8493511,332149,8.9,8.9,0.451,8.5
"1377","Kenya",2001,"Developing",51.9,434,77,1.63,3.847602867,NA,11304,14.7,120,77,4.62,8,16.9,41.7763612,32321482,9,9,0.447,8.4
"1378","Kenya",2000,"Developing",51.9,428,77,1.51,0.681685555,NA,21002,14.4,121,8,4.68,82,18.1,43.9797132,3145483,9.2,9.1,0.448,8.4
"1390","Kiribati",2004,"Developing",64.8,214,0,0.48,10.6242741,67,0,71.4,0,61,1.39,62,0.1,113.6286,9542,0.2,0.2,0,12.4
"1391","Kiribati",2003,"Developing",64.7,215,0,0.5,1.76541345,73,0,7.6,0,79,9.98,7,0.1,115.3865,88895,0.2,0.2,0,11.6
"1392","Kiribati",2002,"Developing",64.6,217,0,0.49,70.75572222,79,0,69.7,0,96,9.1,77,0.1,826.58554,87343,0.2,0.2,0,11.7
"1393","Kiribati",2001,"Developing",64.3,219,0,0.6,59.97185848,85,0,68.8,0,88,9,85,0.1,734.9492461,85858,0.2,0.2,0,10.4
"1394","Kiribati",2000,"Developing",64.1,222,0,0.46,11.07543331,9,0,67.9,0,9,8.12,9,0.1,796.7937634,8446,0.2,0.2,0,10
"1406","Kuwait",2004,"Developing",73.5,91,0,0.02,1731.073528,94,23,65.9,1,98,2.76,98,0.1,26921.8278,NA,3.2,3,0.791,14.4
"1407","Kuwait",2003,"Developing",73.4,93,0,0.03,159.0098727,99,0,65.5,1,99,3.23,99,0.1,2271.56961,NA,3.2,3,0.788,14.1
"1408","Kuwait",2002,"Developing",73.3,94,0,0.01,1209.680547,99,0,65,1,99,3.56,99,0.1,17789.41981,NA,3.2,3,0.785,13.9
"1409","Kuwait",2001,"Developing",73.2,95,0,0.01,113.1997845,99,0,64.5,1,99,3.61,99,0.1,1654.96761,NA,3.2,3,0.786,14
"1410","Kuwait",2000,"Developing",73.2,96,0,0.01,959.925862,95,6,64,1,94,2.51,98,0.1,18389.38433,NA,3.2,3.1,0.786,14.1
"1454","Latvia",2004,"Developed",71,26,0,8.81,80.0328375,98,0,56.6,0,99,6.51,99,0.1,6351.8125,2263122,2.5,2.6,0.776,15.5
"1455","Latvia",2003,"Developed",78,29,0,8.24,478.0644911,98,0,56.3,0,98,6.15,98,0.1,5134.95694,2287955,2.6,2.6,0.761,15.2
"1456","Latvia",2002,"Developed",73,219,0,7.44,376.4570185,98,0,56,0,98,6.29,97,0.1,4132.34927,231173,2.7,2.7,0.746,14.8
"1457","Latvia",2001,"Developed",69.9,228,0,6.68,332.2751709,96,1,55.7,0,97,6.17,97,0.1,3572.8513,233717,2.8,2.8,0.728,14.2
"1458","Latvia",2000,"Developed",71,218,0,7.13,291.0170765,95,0,55.4,0,96,6,96,0.1,3352.731296,236755,2.8,2.8,0.716,13.7
"1470","Lebanon",2004,"Developing",73.7,13,1,2.1,618.3614858,75,213,6.2,1,74,8.91,75,0.1,5424.22356,3863267,4.7,4.6,0,14.2
"1471","Lebanon",2003,"Developing",73.5,15,1,2.19,527.9176618,74,526,59.7,1,74,9.3,74,0.1,5425.6697,371464,4.8,4.7,0,14.8
"1472","Lebanon",2002,"Developing",73.2,17,1,1.98,70.13207838,77,36,59.1,1,77,1.5,77,0.1,5436.595223,3522837,4.8,4.7,0,15.2
"1473","Lebanon",2001,"Developing",73,11,1,2.19,510.6035166,8,8,58.6,1,8,1.9,8,0.1,5253.122599,3359859,4.9,4.7,0,15
"1474","Lebanon",2000,"Developing",72.7,112,1,2.26,404.3879434,83,5,57.9,1,83,1.86,83,0.1,5334.93329,3235366,4.9,4.8,0,14.9
"1486","Lesotho",2004,"Developing",44.8,666,5,1.8,67.91361818,6,31,26.9,7,89,6.96,9,34.6,781.5145936,1933728,9.7,9.7,0.439,10.7
"1487","Lesotho",2003,"Developing",45.5,648,5,1.99,5.300902041,17,1,26.4,7,9,7.13,9,33.8,63.636279,191897,1.2,1.1,0.44,10.5
"1488","Lesotho",2002,"Developing",46.4,622,5,2.95,3.53457351,NA,0,25.9,7,84,6.91,84,32.5,47.89395,192312,1.6,1.6,0.446,10.4
"1489","Lesotho",2001,"Developing",47.8,586,5,2.86,38.57187011,NA,217,25.4,7,78,7.53,78,31.2,437.819184,1885955,11.1,11.1,0.443,10.3
"1490","Lesotho",2000,"Developing",49.3,543,5,3.1,29.86616464,NA,660,24.9,7,82,6.92,83,29.8,474.8197876,1868699,11.5,11.6,0.445,9.6
"1502","Liberia",2004,"Developing",54,329,12,4.24,17.85870796,NA,4,21.5,17,47,8.77,31,3.2,149.4452549,3176414,8.5,8.5,0.335,10.2
"1503","Liberia",2003,"Developing",50,42,13,4.21,9.758449266,NA,142,21.1,18,49,3.44,35,3.2,133.494518,3116233,8.7,8.7,0.373,10.3
"1504","Liberia",2002,"Developing",56,371,13,4.27,10.424369,NA,131,2.7,19,51,5.43,39,3.1,177.285187,362863,8.8,8.9,0.376,10.4
"1505","Liberia",2001,"Developing",51.5,333,14,4.4,16.72142854,NA,1379,2.4,20,54,6.41,42,3.1,174.1815473,2991132,9,9,0.386,10.5
"1506","Liberia",2000,"Developing",51.9,39,14,4.46,12.19709744,NA,5977,2.2,20,56,5.91,46,3.1,183.4149991,2884522,9.2,9.2,0.338,8.7
"1518","Libya",2004,"Developing",71.5,141,2,0.01,31.80653288,99,2771,55.3,3,97,3.46,97,0.1,586.8364,NA,5.5,5.4,0.747,15.9
"1519","Libya",2003,"Developing",71.3,144,3,0.01,295.1166511,96,0,54.6,3,95,4.6,95,0.1,4676.96753,NA,5.6,5.4,0.74,16
"1520","Libya",2002,"Developing",71.1,146,3,0.01,29.13434871,91,3890,54,3,93,4.57,93,0.1,375.442638,NA,5.6,5.4,0.736,15.8
"1521","Libya",2001,"Developing",71,147,3,0.01,362.3817951,93,633,53.4,3,94,4.6,94,0.1,6269.58123,NA,5.6,5.5,0.732,15.7
"1522","Libya",2000,"Developing",78,148,3,0.01,457.3202236,92,0,52.8,3,94,3.41,94,0.1,7145.628494,NA,5.7,5.5,0.727,15.5
"1534","Lithuania",2004,"Developed",71.6,24,0,12.1,76.36187737,94,1,58.1,0,9,5.67,94,0.1,676.966998,337775,3.1,3.1,0.792,16.3
"1535","Lithuania",2003,"Developed",71.6,22,0,11.29,80.99710054,95,1,57.8,0,91,6.46,94,0.1,555.535669,3415213,3.2,3.2,0.78,15.8
"1536","Lithuania",2002,"Developed",71.4,22,0,11,561.9168642,94,103,57.5,0,97,6.4,95,0.1,4146.987928,344367,3.3,3.3,0.77,15.3
"1537","Lithuania",2001,"Developed",71.2,21,0,10.2,42.87208671,95,7,57.2,0,97,6.26,95,0.1,353.147337,347818,3.3,3.3,0.757,14.7
"1538","Lithuania",2000,"Developed",71.6,2,0,9.87,373.2605532,98,19,56.9,0,92,6.46,94,0.1,3297.35471,3499536,3.4,3.4,0.745,14
"1550","Luxembourg",2004,"Developed",78.7,92,0,12.42,12372.05188,94,0,56.4,0,99,8.2,99,0.1,75716.3518,45895,1,0.9,0.867,13.5
"1551","Luxembourg",2003,"Developed",78.6,92,0,12.61,10111.38928,95,1,55.8,0,99,7.67,98,0.1,65445.8853,45163,1,0.9,0.865,13.6
"1552","Luxembourg",2002,"Developed",78.3,95,0,12.91,910.5062778,95,0,55.2,0,99,8.27,99,0.1,5293.64115,446175,1,0.9,0.86,13.5
"1553","Luxembourg",2001,"Developed",78,96,0,12.89,7877.33656,86,0,54.6,0,99,7.4,99,0.1,48179.4285,441525,1,1,0.854,13.4
"1554","Luxembourg",2000,"Developed",77.8,98,0,13.14,8246.130437,77,0,54,0,99,7.48,99,0.1,48735.99549,4363,1,1,0.848,13.5
"1566","Madagascar",2004,"Developing",64,267,38,0.81,23.72796328,71,35558,15.4,58,74,4.89,78,0.6,245.1235876,1782997,8.2,8.1,0.466,8.7
"1567","Madagascar",2003,"Developing",59.9,268,40,0.93,37.12894787,61,62233,15,60,65,4.81,66,0.7,316.7998965,17279141,8.3,8.3,0.457,8.5
"1568","Madagascar",2002,"Developing",59.3,271,41,0.9,47.5262138,51,10795,14.7,63,61,5.29,62,0.7,262.2859481,16765117,8.5,8.4,0.462,8.3
"1569","Madagascar",2001,"Developing",58.7,276,42,1.05,42.56331585,NA,9357,14.3,65,6,5.17,6,0.7,278.555732,1626932,8.6,8.5,0.456,8.2
"1570","Madagascar",2000,"Developing",57.9,283,44,1.16,35.66125056,NA,35256,13.9,68,58,5.8,57,0.6,245.939659,1576686,8.7,8.6,0,8
"1582","Malawi",2004,"Developing",45.1,615,40,1.11,58.13583343,89,1116,15.5,65,94,7.82,89,23.4,274.2256294,1267638,7.5,7.4,0.366,10
"1583","Malawi",2003,"Developing",44.6,613,43,1.08,4.375316094,84,167,15.2,70,85,6.35,84,24.2,26.152517,12336687,7.6,7.5,0.362,10.3
"1584","Malawi",2002,"Developing",44,67,46,1.1,3.885394742,64,92,14.8,75,79,4.82,64,24.7,29.9798977,1213711,7.7,7.6,0.388,10.4
"1585","Malawi",2001,"Developing",43.5,599,48,1.15,12.79760626,NA,150,14.4,80,86,5.7,9,25.1,146.7615397,11695863,7.9,7.7,0.387,10.1
"1586","Malawi",2000,"Developing",43.1,588,51,1.18,13.76270195,NA,304,14.1,84,73,6.7,75,25.5,153.2594872,11376172,8,7.9,0.391,10.7
"1598","Malaysia",2004,"Developing",73.2,137,3,0.49,315.6639322,94,5729,29.8,4,95,3.74,95,0.1,4955.477743,2517419,9.2,8.9,0.731,12.7
"1599","Malaysia",2003,"Developing",73.1,138,3,0.48,264.2496129,95,632,28.8,4,96,3.95,96,0.1,4463.675893,2468873,9.3,9.1,0.724,12.1
"1600","Malaysia",2002,"Developing",72.9,14,4,0.49,216.7029481,95,408,27.9,4,94,3.4,94,0.1,4167.364387,24198811,9.5,9.3,0.723,12
"1601","Malaysia",2001,"Developing",72.7,144,4,0.53,210.2417002,95,2198,27,5,95,3.4,96,0.1,3915.11546,2369897,9.7,9.4,0.725,11.9
"1602","Malaysia",2000,"Developing",72.4,149,4,0.54,23.37167228,97,6187,26,5,98,3.4,98,0.1,445.17471,2318568,9.8,9.6,0.715,11.6
"1614","Maldives",2004,"Developing",73.4,16,0,1.6,611.9093566,97,37,17.3,0,96,5.89,96,0.1,3853.33348,312,14.5,14.6,0.617,12.2
"1615","Maldives",2003,"Developing",72.7,112,0,1.75,491.4978908,98,75,16.7,0,98,5.9,98,0.1,3432.247841,34,14.6,14.7,0.601,11.8
"1616","Maldives",2002,"Developing",71.8,124,0,1.95,4.299053392,98,926,16.2,0,98,5.78,98,0.1,32.37239,297,14.6,14.7,0.597,12
"1617","Maldives",2001,"Developing",78,129,0,1.98,41.30688803,98,0,15.6,0,97,5.84,98,0.1,298.67598,292,14.7,14.8,0.587,11.8
"1618","Maldives",2000,"Developing",69.6,139,0,1.83,300.1621026,96,20,15.2,0,98,8,98,0.1,2182.99711,286,14.8,14.8,0.577,11.3
"1630","Mali",2004,"Developing",52.8,296,58,0.49,57.11644801,73,172,17.5,103,7,6.28,69,2,439.3572924,1239196,1.1,1,0.333,5.5
"1631","Mali",2003,"Developing",52,299,59,0.54,6.660451777,79,232,17,106,67,6.25,63,2.2,391.791281,125128,1.3,1.2,0.318,5.2
"1632","Mali",2002,"Developing",51.2,31,60,0.53,3.67646576,NA,717,16.5,108,65,6.32,61,2.3,334.22416,11638929,1.5,1.5,0.308,4.9
"1633","Mali",2001,"Developing",55,34,60,0.51,4.395885717,NA,4464,16.1,110,56,6.39,49,2.4,36.8473237,11293258,1.8,1.7,0.297,4.6
"1634","Mali",2000,"Developing",49.8,37,60,0.47,23.94507124,NA,1578,15.6,111,53,6.29,43,2.5,269.3483829,196769,11,1.9,0.291,4.4
"1646","Malta",2004,"Developed",78.7,69,0,6.53,203.3157499,85,4,64.5,0,89,8.46,89,0.1,1519.5497,41268,0.7,0.7,0.797,14.2
"1647","Malta",2003,"Developed",78.5,71,0,6.7,1678.392773,89,4,63.9,0,94,8.6,94,0.1,13689.98999,398582,0.7,0.7,0.79,13.8
"1648","Malta",2002,"Developed",78.2,75,0,5.73,1552.740429,NA,7,63.4,0,95,7.86,95,0.1,11843.9392,395969,0.7,0.7,0.786,13.8
"1649","Malta",2001,"Developed",77.8,79,0,5.62,130.0150391,NA,2,62.8,0,95,7.11,95,0.1,1121.78636,39328,0.7,0.7,0.783,13.7
"1650","Malta",2000,"Developed",77.5,8,0,5.59,134.3547253,NA,2,62.3,0,94,6.83,94,0.1,1139.5651,3987,0.8,0.7,0.779,13.8
"1663","Mauritania",2004,"Developing",64,224,8,0.01,5.00378288,NA,5039,23.6,12,68,4.7,7,1.3,62.547286,342823,1,9.8,0.451,6.7
"1664","Mauritania",2003,"Developing",63,226,8,0.01,29.65370899,NA,3611,22.9,12,75,4.53,76,1.3,528.586613,2957117,1.3,1.1,0.447,6.6
"1665","Mauritania",2002,"Developing",62,228,7,0.02,4.113190741,NA,883,22.3,12,91,5.31,89,1.2,46.9542322,2873228,1.5,1.3,0.446,6.5
"1666","Mauritania",2001,"Developing",61,229,7,0.01,28.782245,NA,1398,21.7,12,75,4.34,75,1.2,464.229758,279729,1.7,1.5,0.444,6.5
"1667","Mauritania",2000,"Developing",60,23,7,0.03,8.594570232,NA,0,21.1,11,58,5.26,51,1.1,477.476124,279359,1.9,1.7,0.443,6.4
"1679","Mauritius",2004,"Developing",71.9,168,0,4.16,509.3899943,98,28,27.5,0,98,4.29,98,0.1,5229.876738,12213,7.8,7.7,0.696,12.8
"1680","Mauritius",2003,"Developing",71.5,174,0,4.08,407.779262,97,777,26.9,0,99,4.15,99,0.1,4623.347642,121337,7.9,7.8,0.687,12.6
"1681","Mauritius",2002,"Developing",71.5,179,0,4.14,369.6317105,88,0,26.4,0,88,4.24,88,0.1,3957.51296,124621,7.9,7.9,0.683,12.5
