"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"1682","Mauritius",2001,"Developing",71.5,177,0,4.38,70.15536981,92,0,25.8,0,93,3.87,92,0.1,3792.182152,1196287,8,8,0.673,12.2
"1683","Mauritius",2000,"Developing",71,177,0,4.6,336.3213326,88,0,25.3,0,88,3.78,88,0.1,3861.32414,1186873,8.1,8.1,0.667,12.1
"1695","Mexico",2004,"Developing",75.4,124,44,4.9,920.8284115,98,64,55.7,52,98,6.11,98,0.1,7199.59665,16995583,1.8,1.8,0.714,12.1
"1696","Mexico",2003,"Developing",75,127,46,4.88,781.2062828,98,44,54.9,55,98,6.2,98,0.1,6751.998987,1564453,1.9,1.8,0.708,11.9
"1697","Mexico",2002,"Developing",75,127,49,4.77,12.1859723,97,0,54.1,58,98,5.52,97,0.1,716.8219,1435568,1.9,1.8,0.703,11.6
"1698","Mexico",2001,"Developing",75,126,52,4.86,13.31109532,97,3,53.2,62,97,5.35,97,0.1,731.378864,136768,1.9,1.9,0.7,11.6
"1699","Mexico",2000,"Developing",74.8,129,55,4.99,10.22840118,97,30,52.4,66,97,4.98,97,0.1,672.92113,11719673,2,1.9,0.694,11.4
"1728","Mongolia",2004,"Developing",64,284,2,1.75,73.24150483,98,0,41.3,2,99,5.99,99,0.1,797.8377432,2496832,2.3,2.4,0.621,11.2
"1729","Mongolia",2003,"Developing",64,271,2,1.31,56.05686428,98,18,4.5,2,98,6.18,98,0.1,646.561295,2469286,2.4,2.5,0.609,10.5
"1730","Mongolia",2002,"Developing",63.8,263,2,2.43,55.60878216,98,1205,39.8,2,98,5.81,98,0.1,571.51883,2443659,2.4,2.5,0.599,10.1
"1731","Mongolia",2001,"Developing",63.2,266,2,2.87,61.84921903,95,10677,39.1,3,95,5.45,95,0.1,524.145924,2419776,2.5,2.6,0.588,9.4
"1732","Mongolia",2000,"Developing",62.8,274,2,2.79,56.431387,93,925,38.5,3,94,4.92,94,0.1,474.2133361,2397436,2.6,2.6,0.582,8.9
"1760","Morocco",2004,"Developing",72,142,23,0.56,100.3638322,95,6399,48.2,27,97,5.22,97,0.1,1948.812275,3179285,6.5,6.4,0.561,9.6
"1761","Morocco",2003,"Developing",69.9,146,24,0.58,88.16506179,9,10841,47.3,28,91,5.25,91,0.1,1721.973863,29843937,6.6,6.4,0.551,9.3
"1762","Morocco",2002,"Developing",69.5,15,25,0.46,66.72933871,92,6000,46.5,29,94,5.31,94,0.1,1413.757176,29512368,6.6,6.5,0.54,8.8
"1763","Morocco",2001,"Developing",69,155,26,0.46,71.11645,84,2724,45.7,30,93,4.44,96,0.1,1336.775376,29181832,6.7,6.5,0.53,8.5
"1764","Morocco",2000,"Developing",68.6,16,27,0.45,63.42140024,43,7368,44.8,32,95,4.18,95,0.1,1332.382358,28849621,6.7,6.6,0.519,8
"1776","Mozambique",2004,"Developing",54,429,82,1.54,46.58195631,76,9396,18.1,120,69,5.91,83,15.9,336.3318145,231275,3.9,3.8,0.332,7
"1777","Mozambique",2003,"Developing",51,424,85,1.68,42.52689559,76,28898,17.7,124,67,6.39,85,15.3,283.8911588,19716598,4,3.9,0.318,6.7
"1778","Mozambique",2002,"Developing",49.8,416,87,2.16,40.82597077,76,7155,17.3,127,76,6.45,76,14.5,262.884551,19139658,4,4,0.311,6.2
"1779","Mozambique",2001,"Developing",49.5,48,90,2.09,37.82511936,25,7085,16.9,132,72,5.64,73,13.4,256.4414872,18588758,4.1,4,0.298,5.8
"1780","Mozambique",2000,"Developing",49,43,93,1.14,47.17250718,NA,7375,16.5,136,69,6.16,7,12.2,277.6486591,1867687,4.2,4.1,0.291,5.4
"1792","Myanmar",2004,"Developing",63.5,228,66,0.44,4.15451614,39,1329,15.7,90,92,1.97,82,0.5,219.8156688,487377,13.3,13.6,0.455,7.8
"1793","Myanmar",2003,"Developing",63.2,231,69,0.4,3.824212472,8,830,15.2,93,86,1.97,78,0.5,219.782326,47624894,13.3,13.6,0.445,7.7
"1794","Myanmar",2002,"Developing",62.8,235,71,0.41,3.421880938,NA,736,14.6,96,84,2.5,79,0.4,143.77651,471422,13.3,13.7,0.435,7.6
"1795","Myanmar",2001,"Developing",62.5,239,72,0.38,1.917164,NA,2519,14.1,98,77,1.8,73,0.4,138.9249275,46627994,13.3,13.7,0.427,7.6
"1796","Myanmar",2000,"Developing",62.1,243,73,0.35,2.511437292,NA,845,13.6,100,88,1.84,82,0.4,193.187484,4695462,13.3,13.7,0.417,7.5
"1808","Namibia",2004,"Developing",54.7,483,3,4.8,368.2848258,NA,4,27.2,4,81,6.47,81,24,3288.257373,29228,13.7,13.7,0.559,11.7
"1809","Namibia",2003,"Developing",55,471,3,5.28,294.6571552,NA,262,26.5,4,82,6.52,79,24.7,2482.36862,1986535,14.2,14.3,0.554,11.7
"1810","Namibia",2002,"Developing",55.7,452,3,5.09,203.7322893,NA,1278,25.8,4,78,6.17,77,24.6,1713.47594,1962147,14.7,14.8,0.556,11.8
"1811","Namibia",2001,"Developing",56.5,426,3,5.09,205.8078833,NA,416,25.1,4,79,6.18,78,23.9,1834.29486,1933596,15.2,15.4,0.556,11.7
"1812","Namibia",2000,"Developing",57.4,41,3,5.73,35.80978512,NA,469,24.5,4,8,6.11,79,22.8,257.99557,1899257,15.7,15.9,0.559,11.5
"1825","Nepal",2004,"Developing",64.7,218,35,0.21,31.93187316,27,12074,13.4,47,8,5.82,8,0.2,287.4156,2539449,17.8,18.4,0.463,9.3
"1826","Nepal",2003,"Developing",64.3,22,38,0.2,2.79096532,2,13344,12.9,50,76,5.48,78,0.1,253.72412,2495623,18,18.6,0.457,9.2
"1827","Nepal",2002,"Developing",63.1,238,40,0.19,23.18394594,NA,6749,12.4,54,72,5.6,72,0.1,246.375621,24566342,18.2,18.8,0.447,8.6
"1828","Nepal",2001,"Developing",63.2,23,43,0.09,21.92813881,NA,10849,11.9,58,73,5.36,72,0.1,248.6183539,24161777,18.3,19,0.446,9
"1829","Nepal",2000,"Developing",62.5,238,46,0.08,17.9123368,NA,9397,11.4,62,74,5.43,74,0.1,231.42554,2374911,18.5,19.2,0.439,8.9
"1841","Netherlands",2004,"Developed",79.2,77,1,9.56,5170.130703,NA,11,55,1,98,8.52,98,0.1,39954.64222,16281779,1,1,0.885,16.5
"1842","Netherlands",2003,"Developed",78.7,8,1,9.56,4472.6114,NA,4,54.2,1,98,8.46,98,0.1,35245.1647,1622532,1.1,1,0.881,16.5
"1843","Netherlands",2002,"Developed",78.4,81,1,9.68,3455.197053,NA,3,53.4,1,97,8.34,97,0.1,28817.32321,16148929,1.1,1,0.882,16.9
"1844","Netherlands",2001,"Developed",78.3,82,1,9.95,3054.515582,NA,0,52.6,1,97,7.79,97,0.1,26584.12169,164618,1.1,1.1,0.878,16.7
"1845","Netherlands",2000,"Developed",78.1,84,1,10.06,2944.640134,NA,1019,51.8,1,97,7.42,97,0.1,25921.12794,15925513,1.1,1.1,0.873,16.5
"1857","New Zealand",2004,"Developed",79.2,79,0,9.15,442.3774869,88,33,61.5,0,87,7.89,89,0.1,2542.39935,NA,0.3,0.3,0.884,18.4
"1858","New Zealand",2003,"Developed",79.1,82,0,8.91,3661.792922,89,66,6.9,0,86,7.71,9,0.1,21913.7817,NA,0.3,0.3,0.881,18.2
"1859","New Zealand",2002,"Developed",78.7,83,0,9.13,2892.257132,89,21,6.3,0,84,7.89,9,0.1,16874.31232,NA,0.3,0.3,0.873,17.5
"1860","New Zealand",2001,"Developed",78.5,83,0,8.75,2205.98595,9,65,59.6,0,82,7.58,9,0.1,13882.85683,NA,0.3,0.3,0.868,17.4
"1861","New Zealand",2000,"Developed",78.6,87,0,8.91,2143.021083,9,65,58.9,0,82,7.47,9,0.1,13641.1272,NA,0.3,0.3,0.864,17.2
"1873","Nicaragua",2004,"Developing",71,194,4,3.81,36.81621175,79,0,45.7,4,8,6.13,79,0.3,191.55157,53973,2.1,2,0.587,11
"1874","Nicaragua",2003,"Developing",76,198,4,3.77,2.542436908,86,0,44.9,5,86,6.12,86,0.3,115.565314,524879,2.1,2,0.583,11
"1875","Nicaragua",2002,"Developing",75,197,4,3.5,2.092343893,85,0,44.2,5,85,5.71,85,0.4,11.147277,5171734,2.2,2.1,0.577,10.7
"1876","Nicaragua",2001,"Developing",73,193,4,3.51,22.35595448,87,0,43.5,5,89,5.26,87,0.4,143.6758,5175,2.2,2.1,0.57,10.4
"1877","Nicaragua",2000,"Developing",73,192,4,3.61,15.25518816,83,0,42.8,5,85,5.39,83,0.4,116.2743,526796,2.2,2.1,0.562,10.1
"1889","Niger",2004,"Developing",52.9,279,56,0.11,20.86118432,NA,63057,15,118,45,6.61,43,1.6,232.5661574,1312712,12.1,12,0.27,3.1
"1890","Niger",2003,"Developing",52.1,28,56,0.1,20.26876572,NA,54190,14.6,121,44,6.23,41,1.6,215.8548,1265687,12.3,12.2,0.266,3
"1891","Niger",2002,"Developing",51.4,282,57,0.1,17.58722718,NA,31584,14.3,124,43,6.55,39,1.6,177.828384,12262,12.5,12.5,0.261,2.9
"1892","Niger",2001,"Developing",56,283,57,0.11,1.817829717,NA,61208,13.9,127,42,7.1,36,1.6,165.257247,11771976,12.7,12.7,0.255,2.9
"1893","Niger",2000,"Developing",50,284,58,0.1,13.35783844,NA,21319,13.6,128,41,6.1,34,1.5,158.455972,11352973,12.8,12.9,0.253,2.8
"1905","Nigeria",2004,"Developing",48.5,47,563,9.76,57.22555815,NA,31521,18.8,907,43,4.33,33,5.4,648.815852,135393616,13.2,13.2,0.445,8.5
"1906","Nigeria",2003,"Developing",48.1,41,567,9.75,30.19550849,NA,141258,18.3,918,42,4.5,29,5.4,512.65719,131972533,13.5,13.6,0,8.1
"1907","Nigeria",2002,"Developing",47.7,49,571,9.61,17.137754,NA,42007,17.8,928,4,2.43,25,5.3,459.4572117,12866671,13.8,13.8,0,7.7
"1908","Nigeria",2001,"Developing",47.4,48,574,9.58,15.830985,NA,168107,17.3,936,36,3.25,27,5.1,351.7996666,125463434,14.1,14.1,0,8
"1909","Nigeria",2000,"Developing",47.1,45,576,9.23,22.48177606,NA,212183,16.9,943,31,2.84,29,4.9,379.1193264,1223529,14.3,14.4,0,7.6
"1922","Norway",2004,"Developed",79.8,77,0,6.22,1009.825011,NA,7,55.9,0,92,9.44,92,0.1,5757.26916,459191,0.8,0.7,0.924,17.5
"1923","Norway",2003,"Developed",79.4,78,0,6.04,880.7380617,NA,8,55.3,0,92,9.85,92,0.1,5111.65445,4564855,0.8,0.7,0.918,17.1
"1924","Norway",2002,"Developed",78.9,81,0,5.89,749.6823382,NA,5,54.6,0,93,9.62,93,0.1,4361.1538,4538159,0.8,0.7,0.916,17.1
"1925","Norway",2001,"Developed",78.8,82,0,5.49,6356.827282,NA,4,54,0,91,8.65,91,0.1,38549.58934,4513751,0.8,0.7,0.917,17.5
"1926","Norway",2000,"Developed",78.5,85,0,5.67,6191.211908,NA,0,53.3,0,91,8.27,9,0.1,38146.71539,449967,0.8,0.7,0.911,17.1
"1938","Oman",2004,"Developing",74,122,1,0.61,70.46762486,99,18,48.9,1,99,2.98,99,0.1,1129.28886,NA,7.1,6.8,0.734,11.5
"1939","Oman",2003,"Developing",73.6,127,1,0.56,65.65631302,99,1,48.1,1,99,3.17,99,0.1,969.8126,NA,7.1,6.8,0.725,11.2
"1940","Oman",2002,"Developing",73.3,13,1,0.54,585.9170945,99,5,47.3,1,99,3.18,99,0.1,8629.11774,NA,7.1,6.8,0.716,11
"1941","Oman",2001,"Developing",72.9,134,1,0.55,564.5425663,99,15,46.5,1,99,3.8,99,0.1,8476.61511,NA,7.1,6.9,0.705,10.7
"1942","Oman",2000,"Developing",72.6,138,1,0.38,62.86657508,99,15,45.9,1,99,3.7,99,0.1,861.18596,NA,7.2,6.9,0,10.4
"1954","Pakistan",2004,"Developing",63.7,183,364,0.01,28.98323119,65,4248,18.4,461,65,2.56,65,0.1,649.848233,15783,21.4,21.8,0.474,5.6
"1955","Pakistan",2003,"Developing",63.5,185,366,0.01,24.23455671,63,4740,17.9,466,69,2.61,67,0.1,563.594342,1477341,21.6,22,0.465,5.6
"1956","Pakistan",2002,"Developing",63.2,187,371,0.01,22.39387584,NA,3903,17.4,474,71,2.76,68,0.1,499.8633,144654143,21.8,22.2,0.457,5.5
"1957","Pakistan",2001,"Developing",63,189,377,0.01,1.766663097,NA,3849,16.9,483,68,2.61,65,0.1,51.6568157,14161437,22,22.4,0.45,5.4
"1958","Pakistan",2000,"Developing",62.8,19,385,0.02,18.84534312,NA,2064,16.4,495,65,2.79,62,0.1,533.8624114,138523285,22.2,22.6,0.445,5.3
"1971","Panama",2004,"Developing",75.8,123,1,5.69,527.60848,95,0,49.5,2,92,8.9,95,0.2,4591.892776,3269541,2.2,2.1,0.733,12.8
"1972","Panama",2003,"Developing",75.5,126,1,5.52,58.45976019,98,0,48.6,2,95,7.6,98,0.1,4267.13578,329174,2.2,2.2,0.728,12.8
"1973","Panama",2002,"Developing",75.7,125,1,5.52,78.80940216,98,0,47.8,2,99,8.3,99,0.2,4126.14671,3149265,2.3,2.2,0.725,12.6
"1974","Panama",2001,"Developing",75.5,124,2,5.43,7.320514461,98,0,46.9,2,95,7.72,99,0.1,446.372833,389684,2.3,2.3,0.721,12.4
"1975","Panama",2000,"Developing",75.7,121,2,5.58,9.87102142,NA,0,45.9,2,99,7.76,98,0.2,46.29935,33347,2.4,2.3,0.716,12.1
"1987","Papua New Guinea",2004,"Developing",59.9,314,11,0.58,158.001946,6,1385,4.4,15,59,8.39,62,1.5,637.3616215,6161517,1.5,1.4,0.439,7.6
"1988","Papua New Guinea",2003,"Developing",59.6,321,11,0.59,124.3789361,67,3863,39.6,14,62,6.79,68,1.4,588.3582595,61724,1.5,1.4,0.433,7.2
"1989","Papua New Guinea",2002,"Developing",59.3,327,11,0.61,110.9803062,6,17620,38.9,14,54,7.69,61,1.4,511.665773,5862316,1.5,1.5,0.428,6.9
"1990","Papua New Guinea",2001,"Developing",59.1,331,11,0.68,93.37278497,59,4023,38.2,14,52,6.68,55,1.3,539.41528,5716152,1.5,1.5,0.422,6.6
"1991","Papua New Guinea",2000,"Developing",58.9,335,11,0.73,62.56273841,57,7135,37.5,14,51,3.98,59,1.1,631.9468526,5572222,1.6,1.5,0.418,6.2
"2003","Paraguay",2004,"Developing",71.9,165,3,6.2,20.60083027,9,0,42,4,92,5.78,92,0.2,148.527976,57374,2.3,2.2,0.639,12.1
"2004","Paraguay",2003,"Developing",71.7,166,4,6.64,155.4233076,86,0,41.3,4,86,5.99,86,0.1,1174.779347,56795,2.4,2.3,0.642,12.7
"2005","Paraguay",2002,"Developing",71.5,168,4,5.66,152.8293973,NA,0,4.6,4,87,6.77,87,0.1,1148.229882,558611,2.4,2.3,0.632,12.2
"2006","Paraguay",2001,"Developing",71.2,17,4,6.66,233.8488603,NA,0,39.8,5,9,7.61,89,0.1,1417.26582,546624,2.5,2.4,0.624,11.8
"2007","Paraguay",2000,"Developing",79,172,4,6.78,273.5758769,NA,0,39.1,5,86,8.1,86,0.1,1545.626423,5327,2.5,2.4,0.625,11.6
"2019","Peru",2004,"Developing",72.2,151,14,4.27,356.9393805,92,0,48.1,18,81,4.56,86,0.4,2448.143899,27273194,1.3,1.3,0.685,12.8
"2020","Peru",2003,"Developing",72.1,152,15,4.5,34.70333523,65,0,47.4,19,95,4.6,94,0.4,218.25997,26937738,1.3,1.3,0.686,13.3
"2021","Peru",2002,"Developing",72.6,144,16,4.03,40.53777863,NA,0,46.7,20,95,4.94,95,0.4,259.192958,2661467,1.4,1.4,0.686,13.9
"2022","Peru",2001,"Developing",72.4,142,17,4.22,302.5359058,NA,0,46.1,22,9,4.98,9,0.5,1981.243653,26261363,1.4,1.4,0.677,13.4
"2023","Peru",2000,"Developing",71.4,154,18,4.59,297.5112337,NA,1,45.4,24,93,4.83,98,0.5,1996.719689,25914879,1.4,1.4,0.674,13.5
"2035","Philippines",2004,"Developing",67.3,218,66,4.45,13.39905105,48,3025,19.6,86,85,3.23,88,0.1,179.3715,84678493,1,9.7,0.636,11.6
"2036","Philippines",2003,"Developing",67.2,217,67,4.44,0.901149288,52,10511,19.2,87,85,3.25,84,0.1,11.553196,8331954,1,9.7,0.631,11.6
"2037","Philippines",2002,"Developing",66.8,221,68,4.42,0.09987219,42,7003,18.7,89,77,2.79,79,0.1,1.68135,813526,1,9.7,0.625,11.4
"2038","Philippines",2001,"Developing",66.8,221,68,4.54,69.0204245,45,7360,18.3,89,76,3,79,0.1,957.287441,79665315,1,9.7,0.622,11.4
"2039","Philippines",2000,"Developing",66.8,219,69,4.73,11.69704463,7,7120,17.8,90,74,3.21,78,0.1,138.91977,77991569,1,9.6,0.618,11.4
"2051","Poland",2004,"Developed",74.9,143,2,9.19,648.0743453,98,11,55,3,99,6.19,99,0.1,6681.178818,38182222,2.4,2.5,0.8,15.5
"2052","Poland",2003,"Developed",74.7,142,3,9.06,542.0235,97,48,54.5,3,98,6.22,99,0.1,5693.52416,382457,2.4,2.6,0.796,15.3
"2053","Poland",2002,"Developed",74.5,145,3,8.02,516.0554391,98,34,54,3,98,6.32,99,0.1,5196.932921,3823364,2.5,2.6,0.79,15
"2054","Poland",2001,"Developed",74.2,149,3,7.74,466.7383106,95,133,53.6,3,98,5.86,98,0.1,4981.198619,3824876,2.5,2.7,0.784,14.7
"2055","Poland",2000,"Developed",73.7,153,3,8.4,412.4323974,99,77,53.1,4,98,5.5,98,0.1,4492.72764,38258629,2.5,2.8,0.777,14.6
"2067","Portugal",2004,"Developed",78,99,0,13.45,276.0999798,94,5,53.3,1,95,9.84,95,0.1,1845.5881,1483861,0.7,0.6,0.792,15.9
"2068","Portugal",2003,"Developed",77.3,15,0,14.21,2283.891796,94,8,52.5,1,96,9.54,99,0.1,15772.7334,1458821,0.7,0.6,0.789,15.8
"2069","Portugal",2002,"Developed",77.2,17,1,12,1904.00231,82,8,51.7,1,96,9.15,98,0.1,12882.28897,1419631,0.8,0.6,0.788,15.9
"2070","Portugal",2001,"Developed",76.9,11,1,12.22,1657.328352,7,0,5.9,1,96,9.1,97,0.1,11729.14616,1362722,0.8,0.6,0.782,15.7
"2071","Portugal",2000,"Developed",76.6,11,1,11.89,167.3280168,58,45,5.1,1,96,9.14,96,0.1,1152.39681,1289898,0.8,0.6,0.777,15.5
"2083","Qatar",2004,"Developing",76.6,84,0,1.11,4064.743869,97,29,65,0,95,3.61,96,0.1,41818.35256,NA,4.8,4.5,0.826,13.5
"2084","Qatar",2003,"Developing",76.5,85,0,1,4049.972347,93,24,64.7,0,93,4.14,92,0.1,34176.98183,NA,4.8,4.5,0.815,12.8
"2085","Qatar",2002,"Developing",76.4,85,0,0.87,188.6782945,98,34,64.1,0,96,2.71,96,0.1,2999.65492,NA,4.8,4.5,0.807,12.2
"2086","Qatar",2001,"Developing",76.3,87,0,0.76,170.0494537,93,23,63.3,0,93,2.56,93,0.1,2843.63635,NA,4.8,4.5,0.809,12.6
"2087","Qatar",2000,"Developing",76.2,88,0,0.5,1559.287158,89,46,62.4,0,91,2.18,8,0.1,29986.2915,NA,4.8,4.5,0.808,13
"2131","Romania",2004,"Developed",71.7,165,4,9.82,431.3250367,99,117,53.4,4,97,5.43,97,0.1,3552.92452,21451748,3.4,3.9,0.733,12.9
"2132","Romania",2003,"Developed",71.1,174,4,8.78,375.1740323,98,9,52.9,4,97,5.3,97,0.1,2774.95586,21574326,3.5,4,0.722,12.5
"2133","Romania",2002,"Developed",77,178,4,9.62,37.82275031,99,14,52.4,5,98,4.57,98,0.1,2124.873613,2173496,3.7,4.1,0.714,12
"2134","Romania",2001,"Developed",78,179,4,9.78,180.1095132,98,10,51.9,5,99,4.36,99,0.1,1839.72945,2213197,3.8,4.2,0.708,11.7
"2135","Romania",2000,"Developed",77,175,4,10.16,152.6368899,98,35,51.4,5,99,4.33,99,0.1,1668.162731,22442971,4,4.3,0.703,11.5
"2147","Russian Federation",2004,"Developing",64.9,321,19,11.5,46.51559476,96,2444,55,21,98,5.19,97,0.3,412.372294,1446754,2.5,2.8,0.741,13.6
"2148","Russian Federation",2003,"Developing",64.6,322,20,11.32,333.2148711,94,3291,54.7,22,97,5.61,96,0.4,2975.132778,144648257,2.6,2.8,0.733,13.2
"2149","Russian Federation",2002,"Developing",64.8,313,20,10.87,266.5416917,81,580,54.5,24,97,5.99,97,0.3,2375.5944,1453646,2.7,2.9,0.727,12.8
"2150","Russian Federation",2001,"Developing",65.1,38,21,10.47,2.642527148,43,2072,54.2,25,97,5.67,96,0.3,21.362386,14597683,2.8,3,0.72,12.5
"2151","Russian Federation",2000,"Developing",65,37,22,10.18,224.4600248,NA,4800,54,26,97,5.42,96,0.2,1771.58662,146596557,2.9,3,0.709,12.1
"2163","Rwanda",2004,"Developing",53.4,397,26,6.75,31.93566186,89,386,14.9,42,89,6.24,89,7.7,236.9114381,8818438,6.9,7.1,0.371,8.2
"2164","Rwanda",2003,"Developing",52,48,29,6.66,33.30286123,96,1064,14.5,46,96,6.34,96,8.1,212.6619491,868346,7,7.3,0.359,7.6
"2165","Rwanda",2002,"Developing",57,415,31,7.82,1.9659778,88,2738,14.1,50,85,4.18,88,8,196.59778,853625,7.2,7.4,0.343,7.2
"2166","Rwanda",2001,"Developing",48.6,438,33,5.72,0.388253772,NA,896,13.7,54,76,4.38,77,8.1,21.569654,832946,7.4,7.5,0.332,7.1
"2167","Rwanda",2000,"Developing",48.3,426,34,7.13,18.41791804,NA,2095,13.2,57,9,4.22,9,8.5,216.172747,82573,7.6,7.7,0.318,6.6
"2212","Samoa",2004,"Developing",71.4,162,0,3.62,310.6117683,54,0,68.9,0,26,4.45,55,0.1,2351.33814,178781,0.2,0.2,0.665,12.4
"2213","Samoa",2003,"Developing",79,169,0,4.17,24.99717134,83,0,68.2,0,82,4.71,83,0.1,197.29417,177662,0.2,0.2,0.659,12.3
"2214","Samoa",2002,"Developing",76,174,0,3.3,208.1688437,86,0,67.4,0,85,5.1,86,0.1,1631.41727,176582,0.2,0.2,0.653,12.1
"2215","Samoa",2001,"Developing",75,175,0,3.43,199.4118322,89,0,66.5,0,83,5.16,85,0.1,1555.47451,175566,0.2,0.2,0.645,12
"2216","Samoa",2000,"Developing",72,18,0,3,21.2543002,89,0,65.6,0,94,5.31,95,0.1,154.68923,17461,0.2,0.2,0.64,12.1
"2229","Sao Tome and Principe",2004,"Developing",63.8,224,0,5.78,9.013493879,7,0,22.8,0,99,9.94,96,1.6,693.345683,151969,7.2,7.2,0.509,9.8
"2230","Sao Tome and Principe",2003,"Developing",63.4,225,0,6.54,86.42744056,43,0,22.2,0,94,11.12,94,1.6,649.342153,148372,7.4,7.4,0.504,9.7
"2231","Sao Tome and Principe",2002,"Developing",63.1,226,0,5.8,50.80181435,NA,0,21.7,0,92,1.21,92,1.4,555.8185378,144889,7.6,7.6,0.501,9.6
"2232","Sao Tome and Principe",2001,"Developing",62.8,225,0,5.02,3.841228575,NA,0,21.1,0,9,1.28,92,1.5,51.216381,141622,7.8,7.8,0.497,9.4
"2245","Saudi Arabia",2004,"Developing",73.1,12,9,0.06,816.4795082,96,1880,59.4,11,96,3.58,96,0.1,11138.8746,NA,7.2,7.3,0.754,12.3
"2246","Saudi Arabia",2003,"Developing",73,13,9,0.05,832.3688708,95,1208,58.5,11,95,4.2,95,0.1,9567.458285,NA,7.2,7.3,0.747,12.2
"2247","Saudi Arabia",2002,"Developing",72.9,15,10,0.05,688.0972667,97,311,57.7,11,95,4.28,95,0.1,8655.311531,NA,7.3,7.3,0.745,12.1
"2248","Saudi Arabia",2001,"Developing",72.8,17,10,0.05,710.4952397,95,155,56.9,12,97,4.49,97,0.1,8643.4944,NA,7.3,7.3,0.742,12
"2249","Saudi Arabia",2000,"Developing",72.6,11,10,0.05,782.1799815,93,0,56.2,12,95,4.24,95,0.1,9126.954277,NA,7.3,7.4,0.737,11.8
"2261","Senegal",2004,"Developing",59.7,247,24,0.35,66.02236299,54,31,19.1,42,87,5.68,87,0.7,733.581811,1955944,11.6,11.5,0.408,6.2
"2262","Senegal",2003,"Developing",59,251,25,0.33,62.21977893,NA,1519,18.7,44,73,5.4,73,0.7,642.7663113,16799,11.8,11.7,0.401,5.9
"2263","Senegal",2002,"Developing",58.4,252,25,0.36,49.73511396,NA,18184,18.3,47,6,5.6,6,0.7,513.26227,1396861,12,11.9,0.397,5.7
"2264","Senegal",2001,"Developing",57.9,251,26,0.34,6.064221202,NA,24789,17.9,49,49,4.98,52,0.6,481.287397,1134497,12.1,12.1,0.381,5.4
"2265","Senegal",2000,"Developing",57.5,25,27,0.29,5.397368532,NA,5839,17.5,50,49,4.63,52,0.5,473.45338,988452,12.3,12.3,0.378,5.2
