"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"2277","Serbia",2004,"Developing",73,134,1,7.42,462.7076756,89,11,53.3,1,96,8.24,88,0.1,3331.228766,7463157,2.6,2.6,0.72,13.1
"2278","Serbia",2003,"Developing",73,134,1,7.25,389.7515212,NA,15,52.8,1,89,8.13,89,0.1,2832.49652,748591,2.7,2.7,0.715,13
"2279","Serbia",2002,"Developing",72.9,133,1,6.95,292.6142378,NA,63,52.2,1,95,8.9,95,0.1,2149.9944,7496522,2.7,2.8,0.715,13.2
"2280","Serbia",2001,"Developing",73.1,135,1,7.53,222.5065705,NA,35,51.7,1,93,6.89,93,0.1,1634.87561,753433,2.8,2.8,0.709,13.1
"2281","Serbia",2000,"Developing",72.6,141,1,7.38,11.85928108,NA,38,51.2,2,98,6.53,95,0.1,87.1365252,7516346,2.8,2.9,0.702,13
"2293","Seychelles",2004,"Developing",72.1,186,0,7.91,12.94324581,99,0,29.2,0,99,4.17,99,0.1,1176.65871,82475,6,6.4,0.715,12.3
"2294","Seychelles",2003,"Developing",72.1,185,0,7.41,843.1186662,99,0,28.7,0,99,4.64,99,0.1,8524.961236,82781,6.1,6.5,0.713,12.1
"2295","Seychelles",2002,"Developing",72.1,186,0,11.15,562.3601848,99,0,28.1,0,99,4.21,99,0.1,8331.261997,83723,6.1,6.6,0.712,12.1
"2296","Seychelles",2001,"Developing",72,187,0,6.72,643.7035752,96,0,27.6,0,96,4.45,96,0.1,7663.1378,8122,6.2,6.6,0.714,12.2
"2297","Seychelles",2000,"Developing",71.8,188,0,8.24,601.7608115,98,0,27.1,0,98,4.62,98,0.1,7578.85153,81131,6.3,6.7,0,12.3
"2309","Sierra Leone",2004,"Developing",42.3,496,30,3.99,38.52454761,NA,7,18.8,47,69,11.66,65,2.1,263.145817,5439695,9.5,9.5,0.332,7.6
"2310","Sierra Leone",2003,"Developing",41.5,57,30,4.07,38.61473209,NA,586,18.4,47,66,11.69,73,1.9,263.7618312,5199549,9.7,9.8,0.322,7.4
"2311","Sierra Leone",2002,"Developing",48,513,30,4.06,36.59114895,NA,568,17.9,48,54,11.96,53,1.7,249.939542,4957216,9.9,1,0.306,7.2
"2312","Sierra Leone",2001,"Developing",41,519,30,4.21,33.34691455,NA,649,17.5,48,38,11.83,38,1.5,227.779471,4739147,1.1,1.2,0.302,7
"2313","Sierra Leone",2000,"Developing",39,533,29,3.97,20.39568283,NA,3575,17.2,48,46,13.63,44,1.2,139.3147734,4564297,1.3,1.4,0.292,6.7
"2325","Singapore",2004,"Developed",79.7,71,0,1.45,204.2481892,94,96,29.9,0,95,3.17,95,0.1,2745.27136,NA,2.1,2,0.82,12.7
"2326","Singapore",2003,"Developed",79.3,73,0,1.43,2263.068326,95,33,29.6,0,96,3.63,96,0.1,23573.6284,NA,2.1,2,0.819,12.7
"2327","Singapore",2002,"Developed",79,74,0,2.16,142.0989818,95,211,29.2,0,94,2.84,94,0.1,2216.83279,NA,2.1,2,0.818,12.6
"2328","Singapore",2001,"Developed",78.7,76,0,2.08,1003.366877,95,408,28.9,0,95,2.37,96,0.1,21577.7823,NA,2.1,2,0.82,12.7
"2329","Singapore",2000,"Developed",78.3,78,0,2.03,1855.828806,97,141,28.5,0,98,2.71,98,0.1,23792.677,NA,2.1,2,0.81,12.5
"2357","Slovenia",2004,"Developed",77.2,113,0,10,235.3785281,NA,0,53.5,0,94,8.47,94,0.1,1726.9151,199712,2,2,0.85,16.6
"2358","Slovenia",2003,"Developed",76.5,119,0,11.58,203.3252124,NA,0,52.9,0,95,8.77,95,0.1,1488.47154,1995733,2,2.1,0.843,16.1
"2359","Slovenia",2002,"Developed",76.6,117,0,9.29,1617.473418,NA,0,52.3,0,93,8.62,93,0.1,11814.9994,199453,2.1,2.2,0.835,15.6
"2360","Slovenia",2001,"Developed",76.2,124,0,10.8,196.3026243,NA,0,51.8,0,93,8.57,92,0.1,1479.29634,19926,2.2,2.2,0.824,14.7
"2361","Slovenia",2000,"Developed",76,122,0,11.9,161.4473853,NA,0,51.2,0,93,8.26,91,0.1,1227.73677,1988925,2.2,2.3,0.818,14.6
"2373","Solomon Islands",2004,"Developing",67.1,29,0,1.18,195.5259417,81,0,41.3,0,89,5.64,9,0.1,818.442619,458324,1.3,1.3,0.459,8.1
"2374","Solomon Islands",2003,"Developing",66.8,215,0,1.18,16.83170578,79,0,4.4,0,84,6,84,0.1,744.7657423,446769,1.3,1.3,0.453,8
"2375","Solomon Islands",2002,"Developing",66.5,22,0,1.08,156.2847968,75,0,39.6,0,78,6.9,78,0.1,784.9562874,435262,1.4,1.4,0.446,7.3
"2376","Solomon Islands",2001,"Developing",66.2,227,0,0.7,325.1114746,83,0,38.7,0,88,6.44,84,0.1,944.81684,423853,1.4,1.4,0.442,6.6
"2377","Solomon Islands",2000,"Developing",65.8,235,0,0.71,4.24926073,81,0,37.9,0,88,4.56,86,0.1,154.518572,41269,1.4,1.4,0.455,7.2
"2405","South Africa",2004,"Developing",53.7,497,55,6.96,622.043809,76,830,42.9,83,73,7.93,74,29.7,4863.51688,4717.99,12.6,15,0.611,12.9
"2406","South Africa",2003,"Developing",54,485,55,6.93,519.1563781,71,244,42.2,82,7,8.26,69,28.9,3775.68275,46418193.9,13.5,16.1,0.613,12.9
"2407","South Africa",2002,"Developing",54.9,459,54,7.04,346.5316007,72,1043,41.6,79,7,8.9,7,26.6,2518.398261,45855482.88,14.5,17.1,0.62,12.9
"2408","South Africa",2001,"Developing",56,429,52,7.38,365.2585722,72,1166,4.9,76,71,8.31,71,24,2681.781,45312937,15.4,18.1,0.629,13
"2409","South Africa",2000,"Developing",57.3,397,51,7.3,45.96380839,73,1459,4.1,73,71,8.7,73,21.3,337.2253,44896856,16.3,19.1,0.635,13
"2437","Spain",2004,"Developed",81,79,2,11.96,3715.370095,97,26,59.9,2,97,8.5,97,0.1,24918.64584,42921895,0.6,0.5,0.833,15.6
"2438","Spain",2003,"Developed",79.4,83,2,12.09,3205.019918,81,256,59.3,2,99,7.99,98,0.1,21495.7741,42187645,0.6,0.5,0.83,15.6
"2439","Spain",2002,"Developed",79.5,83,2,12.26,228.3543024,82,67,58.8,2,98,7.25,98,0.1,1719.53541,41431558,0.6,0.5,0.828,15.7
"2440","Spain",2001,"Developed",79.4,84,2,9.86,2044.169761,83,0,58.2,2,95,7.24,96,0.1,15323.6114,485412,0.6,0.5,0.825,15.7
"2441","Spain",2000,"Developed",79.1,86,2,11.12,1934.398154,77,152,57.6,2,95,7.21,95,0.1,14676.769,4567864,0.6,0.5,0.82,15.7
"2453","Sri Lanka",2004,"Developing",69.1,197,6,1.56,15.35342268,62,35,16.1,10,97,4.28,97,0.1,174.6692,19228,15.4,15.5,0.705,12.8
"2454","Sri Lanka",2003,"Developing",73.9,146,5,1.69,72.4280894,32,65,15.6,5,98,3.95,99,0.1,989.4547732,1983,15.4,15.5,0.697,12.7
"2455","Sri Lanka",2002,"Developing",73.7,149,5,1.62,59.63595674,NA,139,15.1,5,98,3.89,98,0.1,873.1472436,18939,15.4,15.6,0.699,12.6
"2456","Sri Lanka",2001,"Developing",72.7,16,5,1.68,53.61278637,NA,309,14.6,6,98,3.81,98,0.1,837.699787,18797,15.4,15.6,0.686,12.5
"2457","Sri Lanka",2000,"Developing",71.5,175,5,1.45,60.4909815,NA,16527,14.1,6,99,3.77,99,0.1,875.412178,18655,15.3,15.5,0.677,12.4
"2485","Suriname",2004,"Developing",68.3,214,0,4.55,4.23257668,NA,0,5.4,0,84,6.88,85,0.9,36.48773,49363,3.5,3.5,0,11.1
"2486","Suriname",2003,"Developing",68,223,0,4.53,32.3662077,NA,0,49.7,0,74,6.62,75,1,263.1399,488332,3.5,3.5,0,10.9
"2487","Suriname",2002,"Developing",67.9,221,0,4.41,250.7112373,NA,0,49,0,74,7.14,73,1.6,2232.513244,48344,3.5,3.5,0,11
"2488","Suriname",2001,"Developing",67.7,219,0,4.23,191.2135044,NA,0,48.3,0,65,8.38,68,1.8,1598.77512,47774,3.6,3.5,0,11
"2489","Suriname",2000,"Developing",67.4,224,0,4.29,268.1837972,NA,0,47.6,0,7,9.65,71,0.4,1888.61829,47239,3.6,3.6,0,11.1
"2501","Swaziland",2004,"Developing",45.6,69,3,5.78,37.43857664,93,0,27.4,4,88,5.88,86,50.3,2529.633557,19553,7.7,7.9,0.492,9.4
"2502","Swaziland",2003,"Developing",45.9,6,3,5.65,2.819124474,9,350,27.1,4,87,5.71,85,50.6,22.99449,187392,8.2,8.4,0.493,9.1
"2503","Swaziland",2002,"Developing",46.4,587,3,5.52,131.0421269,88,37,26.7,4,87,5.16,85,49.9,1324.996228,1893,8.6,8.8,0.502,9.2
"2504","Swaziland",2001,"Developing",47.1,568,3,6.72,143.6197316,86,49,26.3,4,87,5.11,84,48.8,1437.634951,172927,9,9.2,0.506,9.3
"2505","Swaziland",2000,"Developing",48.4,536,3,7.19,25.21683318,83,10,25.9,4,87,5.26,84,46.4,1637.4567,161468,9.4,9.6,0.516,9.4
"2517","Sweden",2004,"Developed",83,7,0,6.6,5793.363644,NA,5,54.9,0,99,9.9,99,0.1,42442.2245,8993531,1.3,1.3,0.888,16
"2518","Sweden",2003,"Developed",82,69,0,6.9,5067.411418,NA,3,54.4,0,99,9.31,99,0.1,36961.42537,8958229,1.3,1.3,0.882,15.9
"2519","Sweden",2002,"Developed",79.9,71,0,6.9,3998.09987,NA,9,53.9,0,99,9.23,99,0.1,29571.7446,8924958,1.3,1.3,0.88,15.9
"2520","Sweden",2001,"Developed",79.8,73,0,6.6,3554.546434,NA,5,53.4,0,99,8.86,99,0.1,26969.24457,889596,1.3,1.3,0.877,15.9
"2521","Sweden",2000,"Developed",79.6,73,0,6.2,3689.7273,NA,59,52.8,0,99,8.18,99,0.1,29283.55,887219,1.4,1.3,0.873,15.9
"2533","Switzerland",2004,"Developed",81,69,0,10.55,9495.540576,NA,39,52.8,0,95,1.96,93,0.1,53255.97631,7389625,0.6,0.4,0.895,15.1
"2534","Switzerland",2003,"Developed",85,72,0,10.82,842.2768087,NA,574,52.3,0,95,1.93,93,0.1,4796.56497,73391,0.6,0.5,0.889,15
"2535","Switzerland",2002,"Developed",84,74,0,10.85,6853.628494,NA,0,51.8,0,95,1.61,93,0.1,41336.72192,7284753,0.6,0.5,0.89,15.2
"2536","Switzerland",2001,"Developed",82,75,0,11.12,6478.346135,NA,700,51.3,0,95,1.28,93,0.1,38538.64447,7229854,0.7,0.5,0.888,15.2
"2537","Switzerland",2000,"Developed",79.7,78,0,11.26,5834.582046,NA,0,5.8,0,95,9.91,93,0.1,37813.23426,718425,0.7,0.5,0.879,15.1
"2549","Syrian Arab Republic",2004,"Developing",73.2,131,9,0.93,10.21129783,82,189,46.8,10,84,4.48,81,0.1,148.852738,1786638,6.5,6.3,0.61,10.6
"2550","Syrian Arab Republic",2003,"Developing",73,134,9,1.29,94.75639211,81,801,46,11,85,5.12,83,0.1,1253.39143,17415266,6.6,6.4,0.599,10.3
"2551","Syrian Arab Republic",2002,"Developing",72.8,135,9,1.25,91.70356833,8,538,45.3,11,86,4.94,84,0.1,1263.13455,178791,6.6,6.5,0.596,10.2
"2552","Syrian Arab Republic",2001,"Developing",72.7,135,10,1.29,93.50075111,8,290,44.6,11,83,4.92,82,0.1,1258.421953,16766899,6.7,6.5,0.589,10.1
"2553","Syrian Arab Republic",2000,"Developing",72.6,136,10,1.41,81.7274712,79,146,43.9,12,86,4.92,84,0.1,1177.629268,1641848,6.8,6.6,0.588,10
"2565","Tajikistan",2004,"Developing",65.9,177,11,0.38,2.093721752,81,4,33,13,82,5.7,86,0.3,39.281834,6712841,3.9,3.9,0.563,10.5
"2566","Tajikistan",2003,"Developing",65.2,182,11,0.36,13.25723997,58,2144,32.5,14,82,4.46,85,0.3,236.314438,6576877,4,4,0.553,10.1
"2567","Tajikistan",2002,"Developing",64.3,193,12,0.6,10.68147485,39,927,32.1,15,84,4.48,85,0.3,189.3878519,6447688,4,4,0.543,9.8
"2568","Tajikistan",2001,"Developing",64,194,13,0.86,1.142003812,NA,38,31.6,16,84,4.59,85,0.3,17.8159721,6327125,4.1,4.1,0.535,9.7
"2569","Tajikistan",2000,"Developing",63.7,198,14,0.37,8.943006492,NA,192,31.3,17,86,4.64,83,0.3,138.436633,621625,4.2,4.1,0.529,9.6
"2581","Thailand",2004,"Developing",71.6,189,14,6.17,301.3597791,96,4165,21.7,16,98,3.51,98,0.5,2659.83918,652231,9,9.2,0.674,11.9
"2582","Thailand",2003,"Developing",71.7,189,15,6.14,282.8364612,96,4519,2.9,18,98,3.58,98,0.6,2358.93629,64554952,9.1,9.3,0.666,11.8
"2583","Thailand",2002,"Developing",71.4,192,16,5.93,27.63810304,95,10315,2.2,19,97,3.7,96,0.7,296.54617,6473164,9.2,9.5,0.657,11.5
"2584","Thailand",2001,"Developing",71.2,194,17,5.92,176.0625201,95,7319,19.4,20,97,3.32,96,0.8,1893.145377,63543322,9.3,9.6,0.649,11.2
"2585","Thailand",2000,"Developing",71.1,194,18,5.88,0.27564826,95,4074,18.7,21,97,3.4,97,0.8,27.564826,6295821,9.4,9.7,0.64,10.9
"2613","Timor-Leste",2004,"Developing",62.3,229,3,0.38,8.415788935,NA,41,13.2,3,57,1.31,57,0.1,467.5438297,996698,12,12,0.484,10.2
"2614","Timor-Leste",2003,"Developing",61,25,3,0.44,46.3913277,NA,94,12.9,4,55,2.48,55,0.1,471.4565823,96852,12.1,12.1,0.485,9.8
"2615","Timor-Leste",2002,"Developing",62,261,3,0.48,5.649123424,NA,0,12.6,4,38,3.89,54,0.1,48.61552,923825,12.1,12.1,0.475,9.8
"2629","Togo",2004,"Developing",54.9,355,15,1.01,3.989928468,NA,61,18.4,22,71,5.6,71,5.1,349.9937253,5534598,8.6,8.5,0.432,10
"2630","Togo",2003,"Developing",54.7,355,15,1.02,2.995959823,NA,295,17.9,22,72,5,72,5.2,31.437144,539141,8.8,8.7,0.428,9.9
"2631","Togo",2002,"Developing",54.7,351,15,1,1.995182912,NA,363,17.5,22,58,4.7,59,5.3,28.832123,5251472,9,8.9,0.428,9.7
"2632","Togo",2001,"Developing",54.6,345,14,0.95,2.048574874,NA,1833,17.1,22,51,4.29,5,5.3,26.6394652,511177,9.2,9.1,0.426,9.4
"2633","Togo",2000,"Developing",54.6,339,14,1.1,2.02964427,NA,3578,16.6,22,63,4.35,64,5.1,26.3932935,497367,9.4,9.3,0.425,9.3
"2645","Tonga",2004,"Developing",72.2,151,0,1.8,423.2953509,9,0,68.6,0,91,4.87,9,0.1,2284.37858,146,0.1,0.1,0.693,14.6
"2646","Tonga",2003,"Developing",72,153,0,1.79,45.85105771,85,0,67.8,0,91,5.9,9,0.1,229.714718,99789,0.1,0.1,0.683,13.7
"2647","Tonga",2002,"Developing",71.9,155,0,1.51,310.8203382,88,0,67,0,85,5.3,84,0.1,1842.44421,99184,0.1,0.1,0.679,13.5
"2648","Tonga",2001,"Developing",71.8,157,0,1.35,330.1007394,91,4,66.2,0,91,5.66,89,0.1,1837.977391,98611,0.1,0.1,0.674,13.2
"2649","Tonga",2000,"Developing",71.6,158,0,1.24,40.49128897,93,0,65.5,0,91,4.75,91,0.1,263.27236,9882,0.1,0.1,0.676,13.7
"2661","Trinidad and Tobago",2004,"Developing",69.4,19,0,5.82,11.85100131,94,0,36.8,0,94,5.22,94,1,129.51914,129535,6.3,6.8,0.736,12.2
"2662","Trinidad and Tobago",2003,"Developing",69.3,191,0,5.53,78.72216127,76,0,36,1,91,5.13,91,0.5,884.518666,128452,6.4,6.9,0.729,12
"2663","Trinidad and Tobago",2002,"Developing",69.2,192,0,5.12,72.03911741,5,0,35.2,1,96,5,96,2,749.626612,1277837,6.5,7,0.721,11.9
"2664","Trinidad and Tobago",2001,"Developing",69.1,194,0,4.55,516.7112481,NA,0,34.4,1,91,4.4,91,1.2,6935.721451,127238,6.6,7.1,0.715,11.8
"2665","Trinidad and Tobago",2000,"Developing",69.1,197,0,4.68,43.59522964,NA,0,33.6,1,9,4.17,9,0.9,643.947262,1267984,6.7,7.2,0.709,11.7
"2677","Tunisia",2004,"Developing",74,15,3,1.36,379.7659054,96,1,51.4,4,97,5.63,97,0.1,3112.83529,11761,6.4,6.3,0.673,13.6
"2678","Tunisia",2003,"Developing",73.7,17,4,1.34,321.7694175,92,22,5.6,4,95,5.36,95,0.1,2761.969249,9939678,6.4,6.3,0.667,13.5
"2679","Tunisia",2002,"Developing",73.5,19,4,1.17,262.8184944,93,98,49.7,5,96,5.32,96,0.1,2346.5937,9864326,6.5,6.4,0.662,13.3
"2680","Tunisia",2001,"Developing",73.2,11,4,1.19,257.2878697,94,231,48.9,5,98,5.29,98,0.1,2254.933126,978571,6.5,6.4,0.654,13.1
"2681","Tunisia",2000,"Developing",72.9,112,4,1.21,264.7842196,94,47,48.1,5,97,5.4,97,0.1,2213.91488,9699197,6.6,6.5,0.646,12.8
"2693","Turkey",2004,"Developing",72,132,33,1.35,1.132766775,77,8927,56.8,39,85,5.37,85,0.1,64.72953,677855,5.1,4.9,0.675,12
"2694","Turkey",2003,"Developing",71.6,135,35,1.42,459.1113061,68,5844,55.9,43,69,5.34,68,0.1,4718.51291,668583,5.1,5,0.668,11.9
"2695","Turkey",2002,"Developing",71.2,138,38,1.47,35.55729,72,7823,55.1,46,78,5.36,78,0.1,366.57,6514354,5.2,5,0.658,11.5
"2696","Turkey",2001,"Developing",78,14,41,1.49,256.4341746,77,30509,54.3,50,88,5.16,88,0.1,3119.63716,64191474,5.2,5.1,0.653,11.1
"2697","Turkey",2000,"Developing",74,143,44,1.54,421.2956602,71,16244,53.5,54,85,4.95,85,0.1,4316.553895,6324121,5.3,5.2,0.641,10.7
"2709","Turkmenistan",2004,"Developing",63.5,238,6,2.86,186.1013972,96,1,4,8,98,4.3,97,0.1,1453.917166,473398,3.4,3.4,0,10.3
"2710","Turkmenistan",2003,"Developing",63.4,231,7,2.88,179.6156482,97,1,39.4,8,66,3.85,83,0.1,1283.885977,4655741,3.5,3.4,0,10.3
"2711","Turkmenistan",2002,"Developing",63.3,229,7,2.33,130.3784829,96,11,38.7,8,99,3.34,98,0.1,967.917468,4612,3.5,3.5,0,10.2
"2712","Turkmenistan",2001,"Developing",64,221,7,2.35,106.180706,NA,9,38.1,9,94,3.87,95,0.1,774.4763388,45648,3.6,3.5,0,10.2
"2713","Turkmenistan",2000,"Developing",63.8,224,7,2.9,88.2436347,NA,113,37.5,9,98,3.94,97,0.1,643.17518,4516131,3.6,3.6,0,0
"2726","Uganda",2004,"Developing",51.3,485,104,9.89,36.60609252,62,141,14.2,164,58,8.9,62,8.9,288.236949,27568436,6.6,6.6,0.427,11.6
"2727","Uganda",2003,"Developing",51,53,109,10.16,4.426792406,44,29429,13.9,173,57,7.54,59,9.4,237.9995917,2662482,6.7,6.7,0.418,11.5
"2728","Uganda",2002,"Developing",48.8,523,112,10.42,2.690897842,29,49871,13.6,181,57,7.78,57,10,24.2423229,2571848,6.8,6.8,0.404,11
"2729","Uganda",2001,"Developing",47.7,539,115,10.57,26.97625217,NA,48543,13.3,187,56,7.26,55,10.8,234.984775,24854892,6.9,6.9,0.396,10.8
"2730","Uganda",2000,"Developing",46.6,554,116,10.47,22.59447461,NA,42554,13,191,55,6.77,52,11.6,257.63369,2439274,7,7,0.382,9.8
"2742","Ukraine",2004,"Developing",67.4,267,5,6.79,180.3537859,98,146,56.1,6,99,6.61,99,1,1367.352433,474516,2.7,2.8,0.7,14.6
"2743","Ukraine",2003,"Developing",67.6,256,6,5.92,21.22386354,77,411,55.7,6,99,6.93,97,0.9,148.522488,4781295,2.8,2.9,0.691,14.3
"2744","Ukraine",2002,"Developing",67.6,256,6,4.89,115.738974,48,7587,55.4,7,99,6.25,99,0.9,879.475486,48225,2.9,3,0.683,13.9
"2745","Ukraine",2001,"Developing",67.7,253,6,4.31,8.897421459,7,16970,55.1,7,99,5.66,99,0.8,78.738243,48683865,2.9,3,0.673,13.2
"2746","Ukraine",2000,"Developing",67.5,257,6,4.49,7.883791474,4,817,54.8,8,99,5.59,99,0.7,635.789635,49175848,3,3.1,0.669,13.3
"2758","United Arab Emirates",2004,"Developing",75.1,95,1,1.77,2972.448675,92,22,57,1,94,2.46,94,0.1,36161.1761,NA,5.2,4.9,0.813,12.4
"2759","United Arab Emirates",2003,"Developing",74.9,98,1,1.74,277.1818332,92,42,56.8,1,94,2.65,94,0.1,3323.52318,NA,5.2,5,0.808,12.3
"2760","United Arab Emirates",2002,"Developing",74.7,11,1,1.72,2598.842827,92,53,56,1,94,2.72,94,0.1,31311.35936,NA,5.3,5,0.803,12.1
"2761","United Arab Emirates",2001,"Developing",74.5,14,1,1.67,243.7539129,92,30,55,1,94,2.48,94,0.1,3161.52935,NA,5.3,5.1,0.798,12
"2762","United Arab Emirates",2000,"Developing",74.2,17,1,1.64,262.9589578,92,69,54.1,1,94,2.38,94,0.1,3371.26869,NA,5.4,5.1,0.791,11.8
"2822","Uruguay",2004,"Developing",75.4,122,1,5.66,882.356362,94,0,57.7,1,95,11.59,94,0.1,4117.38853,332496,1.7,1.6,0.75,15.5
"2823","Uruguay",2003,"Developing",75.4,121,1,5.11,160.8400141,91,0,57,1,91,6.52,91,0.1,3622.52284,3325637,1.7,1.6,0.747,15
"2824","Uruguay",2002,"Developing",75.4,124,1,5.86,27.46880965,95,0,56.3,1,93,7.18,95,0.1,488.768855,3327773,1.7,1.7,0.746,14.7
"2825","Uruguay",2001,"Developing",75.2,123,1,6.48,421.4804282,94,0,55.7,1,94,7.46,94,0.1,6281.37747,332713,1.8,1.7,0.742,14.2
"2826","Uruguay",2000,"Developing",75.1,131,1,6.65,645.9583816,92,0,55,1,92,7.82,9,0.1,6871.897677,3321245,1.8,1.7,0.738,14
"2838","Uzbekistan",2004,"Developing",67.8,183,24,1.59,34.41887163,99,75,37,29,99,5.11,99,0.3,465.1198869,2586435,3.2,3.2,0.613,11.6
"2839","Uzbekistan",2003,"Developing",67.2,183,25,1.54,28.52135777,99,85,36.4,30,99,5.17,98,0.3,396.129969,2556765,3.3,3.3,0.607,11.3
"2840","Uzbekistan",2002,"Developing",67.1,186,27,1.47,24.99438738,62,25,35.9,32,99,5.44,99,0.2,383.3494997,2527185,3.3,3.3,0.6,11
"2841","Uzbekistan",2001,"Developing",67.4,185,28,1.53,43.66385568,NA,22,35.3,34,99,5.28,99,0.2,456.734892,2496445,3.4,3.3,0.594,10.7
"2842","Uzbekistan",2000,"Developing",67.1,189,30,1.6,48.50941741,NA,80,34.8,36,99,5.29,99,0.1,558.221144,24654,3.4,3.4,0,10.6
"2854","Vanuatu",2004,"Developing",69.6,169,0,0.85,334.1673373,63,0,44.1,0,67,4.12,69,0.1,1787.94723,24143,1.6,1.5,0,10.7
"2855","Vanuatu",2003,"Developing",69.4,173,0,1.2,27.29839073,64,165,43.3,0,67,4.2,69,0.1,158.52724,198964,1.6,1.6,0,10.4
"2856","Vanuatu",2002,"Developing",69.3,176,0,1.24,171.1373611,66,101,42.6,0,67,3.52,7,0.1,1353.934819,193956,1.7,1.6,0,10.2
"2857","Vanuatu",2001,"Developing",69.1,179,0,0.91,163.105292,68,7,41.9,0,67,3.37,7,0.1,1362.61731,18929,1.7,1.6,0,10.1
"2858","Vanuatu",2000,"Developing",69,18,0,1.21,21.90075232,7,9,41.1,0,67,3.28,71,0.1,1469.849149,18563,1.7,1.7,0,9.6
"2918","Zambia",2004,"Developing",47.9,578,36,2.46,8.369851529,NA,35,18,59,84,7.33,83,17.6,53.2772217,11731746,7.2,7.1,0.456,10.5
"2919","Zambia",2003,"Developing",46.4,64,39,2.33,65.78997404,NA,881,17.6,62,85,8.18,83,18.2,429.1583434,11421984,7.3,7.2,0.443,10.2
"2920","Zambia",2002,"Developing",45.5,69,41,2.44,54.04348047,NA,25036,17.3,66,85,6.93,84,18.4,377.135244,111249,7.4,7.3,0.433,10
"2921","Zambia",2001,"Developing",44.6,611,43,2.61,46.83027463,NA,16997,17.1,70,86,6.56,85,18.6,378.2736238,1824125,7.4,7.4,0.424,9.8
"2922","Zambia",2000,"Developing",43.8,614,44,2.62,45.61688038,NA,30930,16.8,72,85,7.16,85,18.7,341.955625,1531221,7.5,7.5,0.418,9.6
"2934","Zimbabwe",2004,"Developing",44.3,723,27,4.36,0,68,31,27.1,42,67,7.13,65,33.6,454.366654,12777511,9.4,9.4,0.407,9.2
"2935","Zimbabwe",2003,"Developing",44.5,715,26,4.06,0,7,998,26.7,41,7,6.52,68,36.7,453.3511552,12633897,9.8,9.9,0.418,9.5
"2936","Zimbabwe",2002,"Developing",44.8,73,25,4.43,0,73,304,26.3,40,73,6.53,71,39.8,57.34834,125525,1.2,1.3,0.427,10
"2937","Zimbabwe",2001,"Developing",45.3,686,25,1.72,0,76,529,25.9,39,76,6.16,75,42.1,548.587312,12366165,1.6,1.7,0.427,9.8
"2938","Zimbabwe",2000,"Developing",46,665,24,1.68,0,79,1483,25.5,39,78,7.1,78,43.5,547.3588785,12222251,11,11.2,0.434,9.8
